"Stn_Name","Lat","Long","Prov","Tm","DwTm","D","Tx","DwTx","Tn","DwTn","S","DwS","S%N","P","DwP","P%N","S_G","Pd","BS","DwBS","BS%","HDD","CDD","Clim_ID"
"OAKVILLE TWN","43.513","-79.690","ON","21.5","0",NA,"31.5","0","10.0","0","0.0","0",NA,"53.8","0",NA,"0.0","10","","",NA,"1.7","111.7","6155750"
"OSHAWA","43.923","-78.883","ON","19.6","0",NA,"28.0","0","8.8","0","",,NA,"83.7","0",NA,"","7","",,NA,"6.8","56.3","6155875"
"OSHAWA WPCP","43.867","-78.833","ON","20.5","0","0.5","28.0","0","11.0","0","0.0","0",NA,"64.2","0","83.0","0.0","11","","",NA,"0.5","77.8","6155878"
"POINT PETRE (AUT)","43.833","-77.150","ON","20.2","0",NA,"27.9","0","10.3","0","",,NA,"",,NA,"","","",,NA,"6.1","75.0","6156559"
"TORONTO CITY","43.667","-79.400","ON","21.5","1",NA,"29.7","1","13.0","1","",,NA,"54.0","1",NA,"","7","",,NA,"1.1","106.3","6158355"
"TORONTO CITY CENTRE","43.628","-79.396","ON","21.0","0",NA,"29.0","0","14.0","0","",,NA,"39.2","0",NA,"","6","",,NA,"0.6","94.2","6158359"
"TORONTO BUTTONVILLE A","43.861","-79.369","ON","20.9","0",NA,"31.2","0","11.2","0","",,NA,"",,NA,"","","",,NA,"2.5","93.2","6158409"
"TORONTO INTL A","43.677","-79.631","ON","21.3","1",NA,"30.4","1","12.2","1","0.0","1",NA,"43.2","0",NA,"","7","",,NA,"0.9","99.7","6158731"
"TRENTON AWOS","44.118","-77.519","ON","19.8","4",NA,"29.3","4","8.8","4","",,NA,"22.5","2",NA,"","6","",,NA,"4.8","53.3","6158872"
"TRENTON A","44.117","-77.533","ON","19.7","0","0.0","29.0","0","8.9","0","0.0","0",NA,"43.8","0","61.0","","9","",,NA,"4.6","58.7","6158875"
"UXBRIDGE WEST","44.098","-79.164","ON","18.5","0",NA,"28.7","0","6.3","0","",,NA,"",,NA,"","","",,NA,"18.4","33.0","6159123"
"TORONTO NORTH YORK","43.780","-79.468","ON","21.1","0",NA,"31.5","0","10.0","0","0.0","0",NA,"35.0","0",NA,"0.0","9","","",NA,"2.7","97.8","615S001"
"HALIBURTON 3","45.032","-78.531","ON","16.9","0","-0.9","27.0","0","4.5","0","0.0","0",NA,"83.2","0","105.0","0.0","8","","",NA,"49.0","15.7","6163171"
"PETERBOROUGH A","44.230","-78.363","ON","17.9","2",NA,"29.3","2","5.0","2","",,NA,"31.0","2",NA,"","7","",,NA,"27.6","24.8","6166415"
"PETERBOROUGH TRENT U","44.350","-78.300","ON","18.7","0",NA,"30.4","0","6.7","0","",,NA,"71.4","0",NA,"","5","",,NA,"18.2","40.1","6166456"
"TAPLEY","44.171","-78.501","ON","",,NA,"",,"",,"0.0","0",NA,"34.9","0",NA,"0.0","7","","",NA,"","","6168525"
"BANCROFT AUTO","45.071","-77.879","ON","16.6","0",NA,"28.6","0","3.3","0","",,NA,"46.1","0",NA,"","8","",,NA,"57.1","13.0","616I001"
